id,timestamp,window_start,client_ip,server_ip,direction,protocol,service,src_port,dst_port,size,flags
207,1759201267.14821,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,113,
208,1759201267.14821,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
209,1759201267.14821,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
210,1759201267.14821,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
211,1759201267.14821,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
212,1759201267.14821,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
213,1759201267.14821,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
214,1759201267.14821,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
215,1759201267.14821,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
216,1759201267.14821,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
217,1759201267.14821,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
218,1759201267.14821,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
219,1759201267.14821,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
220,1759201267.14821,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
221,1759201267.14821,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
222,1759201267.15357,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
223,1759201267.15357,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
224,1759201267.15357,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
225,1759201267.15357,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
226,1759201267.15357,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
227,1759201267.15357,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
228,1759201267.15357,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
229,1759201267.15557,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
230,1759201267.15601,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
231,1759201267.15635,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
232,1759201267.15671,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,79,
